ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2024-08-22T13:28:00.059387613Z,2024-08-22T13:28:00.059217193Z,1,2,2639,T,N,0,38.760000000,60,0,170420,14286651,38.000000000,40.530000000,1,1000,1,1,CAKE
2024-08-22T13:28:00.059387613Z,2024-08-22T13:28:00.059217547Z,1,2,2639,T,N,0,38.760000000,40,128,170066,14286652,38.000000000,40.530000000,1,1000,1,1,CAKE
2024-08-22T13:30:00.918500023Z,2024-08-22T13:30:00.918318809Z,1,2,2639,T,N,0,38.660000000,3061,0,181214,17284072,38.640000000,39.360000000,95,200,1,1,CAKE
2024-08-22T13:30:05.131885094Z,2024-08-22T13:30:05.131717397Z,1,2,2639,T,N,0,38.780000000,34,130,167697,17937927,38.600000000,38.970000000,234,100,5,1,CAKE
2024-08-22T13:30:45.269318156Z,2024-08-22T13:30:45.269151493Z,1,2,2639,T,A,0,38.750000000,1,130,166663,21393675,38.750000000,38.970000000,1,100,1,1,CAKE
2024-08-22T13:35:03.141125029Z,2024-08-22T13:35:03.140955714Z,1,2,2639,T,N,0,38.805000000,1,128,169315,29902530,38.730000000,38.880000000,6,103,4,2,CAKE
2024-08-22T13:36:56.561157382Z,2024-08-22T13:36:56.560989825Z,1,2,2639,T,N,0,38.870000000,3,130,167557,33685383,38.800000000,38.880000000,117,103,7,2,CAKE
2024-08-22T13:37:19.803364580Z,2024-08-22T13:37:19.803196164Z,1,2,2639,T,B,0,38.880000000,3,0,168416,34395072,38.800000000,38.880000000,117,103,7,2,CAKE
2024-08-22T13:37:19.803364580Z,2024-08-22T13:37:19.803196164Z,1,2,2639,T,B,0,38.880000000,8,130,168416,34395073,38.800000000,38.880000000,117,100,7,1,CAKE
2024-08-22T13:37:19.803397011Z,2024-08-22T13:37:19.803230242Z,1,2,2639,T,B,0,38.880000000,86,130,166769,34395076,38.800000000,38.880000000,117,192,7,2,CAKE
2024-08-22T13:37:19.803403829Z,2024-08-22T13:37:19.803234849Z,1,2,2639,T,B,0,38.880000000,6,0,168980,34395077,38.800000000,38.880000000,117,106,7,2,CAKE
2024-08-22T13:37:19.803403829Z,2024-08-22T13:37:19.803234849Z,1,2,2639,T,B,0,38.880000000,86,130,168980,34395078,38.800000000,38.880000000,117,100,7,1,CAKE
2024-08-22T13:37:19.803421192Z,2024-08-22T13:37:19.803253612Z,1,2,2639,T,B,0,38.880000000,14,130,167580,34395082,38.800000000,38.880000000,117,114,7,2,CAKE
2024-08-22T13:37:19.803445054Z,2024-08-22T13:37:19.803277488Z,1,2,2639,T,B,0,38.880000000,43,130,167566,34395083,38.800000000,38.880000000,117,100,7,1,CAKE
2024-08-22T13:37:19.803456463Z,2024-08-22T13:37:19.803290017Z,1,2,2639,T,B,0,38.880000000,14,130,166446,34395084,38.800000000,38.880000000,117,57,7,1,CAKE
2024-08-22T13:37:19.803547183Z,2024-08-22T13:37:19.803380214Z,1,2,2639,T,B,0,38.880000000,43,130,166969,34395089,38.810000000,38.880000000,200,43,1,1,CAKE
2024-08-22T13:37:19.803606395Z,2024-08-22T13:37:19.803439456Z,1,2,2639,T,B,0,38.890000000,100,130,166939,34395098,38.840000000,38.890000000,17,100,1,1,CAKE
2024-08-22T13:37:21.624521080Z,2024-08-22T13:37:21.624353570Z,1,2,2639,T,N,0,38.900000000,30,130,167510,34440665,38.860000000,38.940000000,206,200,6,2,CAKE
2024-08-22T13:37:38.467170251Z,2024-08-22T13:37:38.467003163Z,1,2,2639,T,B,0,38.940000000,100,130,167088,34853141,38.860000000,38.940000000,6,200,5,2,CAKE
2024-08-22T13:37:48.960648576Z,2024-08-22T13:37:48.960480590Z,1,2,2639,T,B,0,38.940000000,100,130,167986,35122534,38.880000000,38.940000000,9,100,6,1,CAKE
2024-08-22T13:37:48.960908513Z,2024-08-22T13:37:48.960741508Z,1,2,2639,T,B,0,38.950000000,100,130,167005,35122543,38.910000000,38.950000000,121,100,2,1,CAKE
2024-08-22T13:37:48.981257745Z,2024-08-22T13:37:48.981090648Z,1,2,2639,T,B,0,38.960000000,100,130,167097,35122792,38.910000000,38.960000000,5,200,4,2,CAKE
2024-08-22T13:38:05.960917697Z,2024-08-22T13:38:05.960743768Z,1,2,2639,T,A,0,38.910000000,1,0,173929,35566841,38.910000000,38.970000000,6,204,5,4,CAKE
2024-08-22T13:38:05.960917697Z,2024-08-22T13:38:05.960743768Z,1,2,2639,T,A,0,38.910000000,1,0,173929,35566842,38.910000000,38.970000000,5,204,4,4,CAKE
2024-08-22T13:38:05.960917697Z,2024-08-22T13:38:05.960743768Z,1,2,2639,T,A,0,38.910000000,2,0,173929,35566843,38.910000000,38.970000000,4,204,3,4,CAKE
2024-08-22T13:38:05.960917697Z,2024-08-22T13:38:05.960743768Z,1,2,2639,T,A,0,38.910000000,1,0,173929,35566844,38.910000000,38.970000000,2,204,2,4,CAKE
2024-08-22T13:38:05.960917697Z,2024-08-22T13:38:05.960743768Z,1,2,2639,T,A,0,38.910000000,1,0,173929,35566845,38.910000000,38.970000000,1,204,1,4,CAKE
2024-08-22T13:38:05.960917697Z,2024-08-22T13:38:05.960743768Z,1,2,2639,T,N,0,38.910000000,10,0,173929,35566846,38.880000000,38.970000000,57,204,2,4,CAKE
2024-08-22T13:38:05.960917697Z,2024-08-22T13:38:05.960743768Z,1,2,2639,T,N,0,38.910000000,10,0,173929,35566847,38.880000000,38.970000000,57,204,2,4,CAKE
2024-08-22T13:38:05.960917697Z,2024-08-22T13:38:05.960743768Z,1,2,2639,T,N,0,38.910000000,54,130,173929,35566848,38.880000000,38.970000000,57,204,2,4,CAKE
2024-08-22T13:38:25.916817326Z,2024-08-22T13:38:25.916650442Z,1,2,2639,T,B,0,38.900000000,3,130,166884,36120965,38.880000000,38.900000000,57,4,2,1,CAKE
2024-08-22T13:38:25.916821359Z,2024-08-22T13:38:25.916655331Z,1,2,2639,T,B,0,38.900000000,1,130,166028,36120966,38.880000000,38.900000000,57,1,2,1,CAKE
2024-08-22T13:39:01.429901470Z,2024-08-22T13:39:01.429734395Z,1,2,2639,T,B,0,38.960000000,1,130,167075,36998426,38.880000000,38.960000000,57,206,2,3,CAKE
2024-08-22T13:39:20.581810582Z,2024-08-22T13:39:20.581641032Z,1,2,2639,T,B,0,38.960000000,3,0,169550,37524426,38.880000000,38.960000000,106,90,4,3,CAKE
2024-08-22T13:39:20.581810582Z,2024-08-22T13:39:20.581641032Z,1,2,2639,T,B,0,38.960000000,3,0,169550,37524427,38.880000000,38.960000000,106,87,4,2,CAKE
2024-08-22T13:39:20.581810582Z,2024-08-22T13:39:20.581641032Z,1,2,2639,T,B,0,38.960000000,5,130,169550,37524428,38.880000000,38.960000000,106,84,4,1,CAKE
2024-08-22T13:39:27.344504171Z,2024-08-22T13:39:27.344337519Z,1,2,2639,T,N,0,38.930000000,50,130,166652,37689551,38.890000000,38.960000000,203,79,3,1,CAKE
2024-08-22T13:39:27.344560945Z,2024-08-22T13:39:27.344394138Z,1,2,2639,T,N,0,38.930000000,50,130,166807,37689554,38.890000000,38.960000000,203,79,3,1,CAKE
2024-08-22T13:39:29.203363307Z,2024-08-22T13:39:29.203196463Z,1,2,2639,T,N,0,38.950000000,3,130,166844,37752902,38.890000000,38.960000000,203,79,3,1,CAKE
2024-08-22T13:39:38.249734918Z,2024-08-22T13:39:38.249567824Z,1,2,2639,T,B,0,38.960000000,53,130,167094,37993940,38.890000000,38.960000000,3,79,2,1,CAKE
2024-08-22T13:39:38.249740423Z,2024-08-22T13:39:38.249572245Z,1,2,2639,T,B,0,38.960000000,26,128,168178,37993941,38.890000000,38.960000000,3,26,2,1,CAKE
2024-08-22T13:39:38.249757985Z,2024-08-22T13:39:38.249590749Z,1,2,2639,T,B,0,38.970000000,100,130,167236,37993944,38.890000000,38.970000000,3,100,2,1,CAKE
2024-08-22T13:39:38.249818408Z,2024-08-22T13:39:38.249650297Z,1,2,2639,T,B,0,38.980000000,53,130,168111,37993961,38.930000000,38.980000000,126,484,2,4,CAKE
2024-08-22T13:39:38.249822246Z,2024-08-22T13:39:38.249653023Z,1,2,2639,T,B,0,38.980000000,31,0,169223,37993962,38.930000000,38.980000000,126,431,2,4,CAKE
2024-08-22T13:39:38.249822246Z,2024-08-22T13:39:38.249653023Z,1,2,2639,T,B,0,38.980000000,22,128,169223,37993963,38.930000000,38.980000000,126,400,2,3,CAKE
2024-08-22T13:39:38.249826081Z,2024-08-22T13:39:38.249658000Z,1,2,2639,T,B,0,38.980000000,53,130,168081,37993965,38.930000000,38.980000000,126,378,2,3,CAKE
2024-08-22T13:39:38.249830199Z,2024-08-22T13:39:38.249659413Z,1,2,2639,T,B,0,38.980000000,25,0,170786,37993966,38.930000000,38.980000000,126,325,2,3,CAKE
2024-08-22T13:39:38.249830199Z,2024-08-22T13:39:38.249659413Z,1,2,2639,T,B,0,38.980000000,28,130,170786,37993967,38.930000000,38.980000000,126,300,2,2,CAKE
2024-08-22T13:39:38.249897948Z,2024-08-22T13:39:38.249730852Z,1,2,2639,T,B,0,38.980000000,2,130,167096,37993981,38.930000000,38.980000000,326,100,3,1,CAKE
2024-08-22T13:39:38.249915004Z,2024-08-22T13:39:38.249748225Z,1,2,2639,T,B,0,38.980000000,53,130,166779,37993983,38.930000000,38.980000000,326,98,3,1,CAKE
2024-08-22T13:39:38.250020311Z,2024-08-22T13:39:38.249853383Z,1,2,2639,T,B,0,38.980000000,45,130,166928,37993991,38.930000000,38.980000000,226,45,2,1,CAKE
2024-08-22T13:39:38.314427081Z,2024-08-22T13:39:38.314259498Z,1,2,2639,T,B,0,39.000000000,100,130,167583,37996481,38.930000000,39.000000000,303,211,4,4,CAKE
2024-08-22T13:39:38.314460372Z,2024-08-22T13:39:38.314290095Z,1,2,2639,T,B,0,39.000000000,1,0,170277,37996484,38.930000000,39.000000000,303,111,4,3,CAKE
2024-08-22T13:39:38.314460372Z,2024-08-22T13:39:38.314290095Z,1,2,2639,T,B,0,39.000000000,10,0,170277,37996485,38.930000000,39.000000000,303,110,4,2,CAKE
2024-08-22T13:39:38.314460372Z,2024-08-22T13:39:38.314290095Z,1,2,2639,T,B,0,39.000000000,100,130,170277,37996486,38.930000000,39.000000000,303,100,4,1,CAKE
2024-08-22T13:39:38.314994029Z,2024-08-22T13:39:38.314827072Z,1,2,2639,T,B,0,39.000000000,100,130,166957,37996549,38.960000000,39.000000000,26,100,1,1,CAKE
2024-08-22T13:39:38.315016028Z,2024-08-22T13:39:38.314848989Z,1,2,2639,T,B,0,39.000000000,100,130,167039,37996552,38.960000000,39.000000000,26,100,1,1,CAKE
2024-08-22T13:39:49.708952718Z,2024-08-22T13:39:49.708783662Z,1,2,2639,T,B,0,39.000000000,100,0,169056,38283081,38.960000000,39.000000000,3,200,2,2,CAKE
2024-08-22T13:39:49.708952718Z,2024-08-22T13:39:49.708783662Z,1,2,2639,T,B,0,39.000000000,29,130,169056,38283082,38.960000000,39.000000000,3,100,2,1,CAKE
2024-08-22T13:39:49.709020356Z,2024-08-22T13:39:49.708851001Z,1,2,2639,T,B,0,39.000000000,30,0,169355,38283085,38.960000000,39.000000000,3,72,2,2,CAKE
2024-08-22T13:39:49.709020356Z,2024-08-22T13:39:49.708852254Z,1,2,2639,T,B,0,39.000000000,10,130,168102,38283086,38.960000000,39.000000000,3,42,2,2,CAKE
2024-08-22T13:39:49.813645936Z,2024-08-22T13:39:49.813478453Z,1,2,2639,T,B,0,39.000000000,1,130,167483,38284712,38.960000000,39.000000000,203,1,3,1,CAKE
2024-08-22T13:42:01.241664222Z,2024-08-22T13:42:01.241494349Z,1,2,2639,T,B,0,39.080000000,3,0,169873,41712262,39.010000000,39.080000000,235,5,2,3,CAKE
2024-08-22T13:42:01.241664222Z,2024-08-22T13:42:01.241494349Z,1,2,2639,T,B,0,39.080000000,1,0,169873,41712263,39.010000000,39.080000000,235,2,2,2,CAKE
2024-08-22T13:42:01.241664222Z,2024-08-22T13:42:01.241494349Z,1,2,2639,T,B,0,39.080000000,1,130,169873,41712264,39.010000000,39.080000000,235,1,2,1,CAKE
2024-08-22T13:42:01.241694888Z,2024-08-22T13:42:01.241525732Z,1,2,2639,T,N,0,39.050000000,100,130,169156,41712268,39.040000000,39.090000000,5,100,1,1,CAKE
2024-08-22T13:42:01.241826724Z,2024-08-22T13:42:01.241659506Z,1,2,2639,T,B,0,39.090000000,70,130,167218,41712273,39.040000000,39.090000000,9,100,1,1,CAKE
2024-08-22T13:42:01.241839303Z,2024-08-22T13:42:01.241672132Z,1,2,2639,T,N,0,39.050000000,100,130,167171,41712274,39.040000000,39.090000000,9,30,1,1,CAKE
2024-08-22T13:42:01.241850949Z,2024-08-22T13:42:01.241683672Z,1,2,2639,T,B,0,39.090000000,30,130,167277,41712275,39.040000000,39.090000000,9,30,1,1,CAKE
2024-08-22T13:42:01.262045031Z,2024-08-22T13:42:01.261877736Z,1,2,2639,T,N,0,39.090000000,100,130,167295,41712742,39.020000000,39.100000000,205,1517,4,4,CAKE
2024-08-22T13:42:43.895757652Z,2024-08-22T13:42:43.895591220Z,1,2,2639,T,N,0,39.070000000,3,130,166432,42807268,39.020000000,39.100000000,4,1517,3,4,CAKE
2024-08-22T13:43:08.894239928Z,2024-08-22T13:43:08.894072010Z,1,2,2639,T,N,0,39.030000000,2,130,167918,43334105,39.020000000,39.090000000,2,100,2,1,CAKE
2024-08-22T13:43:08.894335929Z,2024-08-22T13:43:08.894164461Z,1,2,2639,T,A,0,39.020000000,1,0,171468,43334116,39.020000000,39.090000000,2,300,2,2,CAKE
2024-08-22T13:43:08.894335929Z,2024-08-22T13:43:08.894164461Z,1,2,2639,T,A,0,39.020000000,1,0,171468,43334117,39.020000000,39.090000000,1,300,1,2,CAKE
2024-08-22T13:43:08.894350482Z,2024-08-22T13:43:08.894183016Z,1,2,2639,T,N,0,39.030000000,2,130,167466,43334120,39.010000000,39.090000000,137,302,3,3,CAKE
2024-08-22T13:43:08.894355062Z,2024-08-22T13:43:08.894184693Z,1,2,2639,T,N,0,39.030000000,2,0,170369,43334121,39.010000000,39.090000000,137,302,3,3,CAKE
2024-08-22T13:43:08.894355989Z,2024-08-22T13:43:08.894188920Z,1,2,2639,T,N,0,39.030000000,50,130,167069,43334123,39.010000000,39.080000000,137,200,3,1,CAKE
2024-08-22T13:43:08.894363160Z,2024-08-22T13:43:08.894192944Z,1,2,2639,T,N,0,39.030000000,46,0,170216,43334125,39.010000000,39.060000000,137,8,3,1,CAKE
2024-08-22T13:43:08.894363160Z,2024-08-22T13:43:08.894192944Z,1,2,2639,T,A,0,39.010000000,35,0,170216,43334126,39.010000000,39.060000000,137,8,3,1,CAKE
2024-08-22T13:43:08.894363160Z,2024-08-22T13:43:08.894192944Z,1,2,2639,T,A,0,39.010000000,58,128,170216,43334127,39.010000000,39.060000000,102,8,2,1,CAKE
2024-08-22T13:43:08.894445114Z,2024-08-22T13:43:08.894278101Z,1,2,2639,T,N,0,39.020000000,100,130,167013,43334134,39.010000000,39.060000000,44,97,2,1,CAKE
2024-08-22T13:43:08.894470053Z,2024-08-22T13:43:08.894297976Z,1,2,2639,T,A,0,39.010000000,42,0,172077,43334139,39.010000000,39.060000000,44,297,2,2,CAKE
2024-08-22T13:43:08.894470053Z,2024-08-22T13:43:08.894297976Z,1,2,2639,T,A,0,39.010000000,2,128,172077,43334140,39.010000000,39.060000000,2,297,1,2,CAKE
2024-08-22T13:43:08.894553623Z,2024-08-22T13:43:08.894384833Z,1,2,2639,T,N,0,39.010000000,100,130,168790,43334164,38.980000000,39.060000000,215,297,3,2,CAKE
2024-08-22T13:44:18.111996026Z,2024-08-22T13:44:18.111829213Z,1,2,2639,T,N,0,39.000000000,1,130,166813,44854665,38.980000000,39.030000000,1,101,1,2,CAKE
2024-08-22T13:44:39.007566670Z,2024-08-22T13:44:39.007395145Z,1,2,2639,T,A,0,38.980000000,1,128,171525,45265950,38.980000000,39.030000000,1,1,1,1,CAKE
2024-08-22T13:44:39.007954449Z,2024-08-22T13:44:39.007786529Z,1,2,2639,T,A,0,38.960000000,300,128,167920,45266227,38.960000000,39.020000000,300,300,1,2,CAKE
2024-08-22T13:44:39.008218156Z,2024-08-22T13:44:39.008045930Z,1,2,2639,T,A,0,38.950000000,15,0,172226,45266436,38.950000000,38.990000000,30,227,2,2,CAKE
2024-08-22T13:44:39.008218156Z,2024-08-22T13:44:39.008045930Z,1,2,2639,T,A,0,38.950000000,15,128,172226,45266437,38.950000000,38.990000000,15,227,1,2,CAKE
2024-08-22T13:44:39.008713305Z,2024-08-22T13:44:39.008545242Z,1,2,2639,T,A,0,38.960000000,198,130,168063,45266685,38.960000000,38.990000000,200,227,1,2,CAKE
2024-08-22T13:44:39.008717165Z,2024-08-22T13:44:39.008547942Z,1,2,2639,T,A,0,38.960000000,2,128,169223,45266686,38.960000000,38.990000000,2,227,1,2,CAKE
2024-08-22T13:44:39.009207859Z,2024-08-22T13:44:39.009037036Z,1,2,2639,T,A,0,38.960000000,69,128,170823,45266868,38.960000000,38.990000000,300,27,2,1,CAKE
2024-08-22T13:44:39.014091236Z,2024-08-22T13:44:39.013922619Z,1,2,2639,T,A,0,38.960000000,131,0,168617,45267860,38.960000000,38.990000000,231,27,2,1,CAKE
2024-08-22T13:44:39.014091236Z,2024-08-22T13:44:39.013922619Z,1,2,2639,T,A,0,38.960000000,100,128,168617,45267861,38.960000000,38.990000000,100,27,1,1,CAKE
2024-08-22T13:44:39.020806287Z,2024-08-22T13:44:39.020639620Z,1,2,2639,T,A,0,38.960000000,93,130,166667,45268580,38.960000000,39.020000000,200,200,1,1,CAKE
2024-08-22T13:44:39.020863958Z,2024-08-22T13:44:39.020696493Z,1,2,2639,T,A,0,38.960000000,100,130,167465,45268583,38.960000000,39.020000000,107,200,1,1,CAKE
2024-08-22T13:44:39.272427250Z,2024-08-22T13:44:39.272260158Z,1,2,2639,T,A,0,38.960000000,7,130,167092,45275704,38.960000000,39.020000000,7,300,1,2,CAKE
2024-08-22T13:44:39.273088023Z,2024-08-22T13:44:39.272919910Z,1,2,2639,T,A,0,38.960000000,66,0,168113,45275723,38.960000000,38.990000000,200,227,1,2,CAKE
2024-08-22T13:44:39.273088023Z,2024-08-22T13:44:39.272920466Z,1,2,2639,T,A,0,38.960000000,66,130,167557,45275724,38.960000000,38.990000000,134,227,1,2,CAKE
2024-08-22T13:44:39.273097719Z,2024-08-22T13:44:39.272931218Z,1,2,2639,T,A,0,38.960000000,68,130,166501,45275726,38.960000000,38.990000000,68,27,1,1,CAKE
2024-08-22T13:44:59.300132753Z,2024-08-22T13:44:59.299966233Z,1,2,2639,T,N,0,38.940000000,2,130,166520,45579225,38.910000000,38.990000000,2,100,1,1,CAKE
2024-08-22T13:45:00.021549577Z,2024-08-22T13:45:00.021367557Z,1,2,2639,T,N,0,38.930000000,50,128,182020,45656297,38.910000000,38.990000000,2,100,1,1,CAKE
2024-08-22T13:45:25.826750527Z,2024-08-22T13:45:25.826582522Z,1,2,2639,T,N,0,38.930000000,50,130,168005,46616844,38.910000000,38.960000000,104,100,3,1,CAKE
2024-08-22T13:45:56.300712969Z,2024-08-22T13:45:56.300545228Z,1,2,2639,T,A,0,38.910000000,2,130,167741,47712990,38.910000000,38.960000000,105,100,4,1,CAKE
2024-08-22T13:45:56.300720739Z,2024-08-22T13:45:56.300552963Z,1,2,2639,T,A,0,38.910000000,3,130,167776,47712991,38.910000000,38.960000000,103,100,3,1,CAKE
2024-08-22T13:45:56.300747303Z,2024-08-22T13:45:56.300572564Z,1,2,2639,T,A,0,38.910000000,97,0,174739,47712997,38.910000000,38.960000000,100,100,3,1,CAKE
2024-08-22T13:45:56.300747303Z,2024-08-22T13:45:56.300572564Z,1,2,2639,T,A,0,38.910000000,2,0,174739,47712998,38.910000000,38.960000000,3,100,2,1,CAKE
2024-08-22T13:45:56.300747303Z,2024-08-22T13:45:56.300572564Z,1,2,2639,T,A,0,38.910000000,1,0,174739,47712999,38.910000000,38.960000000,1,100,1,1,CAKE
2024-08-22T13:45:56.300747303Z,2024-08-22T13:45:56.300572564Z,1,2,2639,T,N,0,38.910000000,3,128,174739,47713000,38.890000000,38.960000000,104,100,2,1,CAKE
2024-08-22T13:45:56.300750493Z,2024-08-22T13:45:56.300581115Z,1,2,2639,T,N,0,38.910000000,97,128,169378,47713002,38.890000000,38.960000000,104,100,2,1,CAKE
2024-08-22T13:46:01.326709422Z,2024-08-22T13:46:01.326539488Z,1,2,2639,T,A,0,38.890000000,4,0,169934,47932363,38.890000000,38.940000000,104,202,2,3,CAKE
2024-08-22T13:46:01.326709422Z,2024-08-22T13:46:01.326539488Z,1,2,2639,T,A,0,38.890000000,100,130,169934,47932364,38.890000000,38.940000000,100,202,1,3,CAKE
2024-08-22T13:46:01.326776283Z,2024-08-22T13:46:01.326606258Z,1,2,2639,T,A,0,38.880000000,2,128,170025,47932389,38.880000000,38.920000000,2,103,1,2,CAKE
2024-08-22T13:46:01.327758139Z,2024-08-22T13:46:01.327590923Z,1,2,2639,T,A,0,38.870000000,2,130,167216,47932598,38.870000000,38.910000000,2,100,1,1,CAKE
2024-08-22T13:46:01.329011002Z,2024-08-22T13:46:01.328843842Z,1,2,2639,T,A,0,38.860000000,6,130,167160,47932788,38.860000000,38.900000000,6,100,1,1,CAKE
2024-08-22T13:46:38.047381815Z,2024-08-22T13:46:38.047213901Z,1,2,2639,T,N,0,38.850000000,100,130,167914,49562494,38.810000000,38.900000000,3,100,1,1,CAKE
